[14:09:42] Traffic monitoring started
[14:09:42] listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
[14:09:43] 14:09:43.642303 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:43] 14:09:43.642388 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:45] 14:09:45.644210 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:45] 14:09:45.644251 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:47] 14:09:47.646229 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:47] 14:09:47.646260 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:49] 14:09:49.647632 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:49] 14:09:49.647673 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:51] 14:09:51.649380 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:51] 14:09:51.649422 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:53] 14:09:53.548878 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:53] 14:09:53.548920 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:55] 14:09:55.549420 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:55] 14:09:55.549444 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:57] 14:09:57.549866 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:57] 14:09:57.549897 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:59] 14:09:59.550378 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:09:59] 14:09:59.550419 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:01] 14:10:01.550909 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:01] 14:10:01.550941 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:03] 14:10:03.552047 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:03] 14:10:03.552091 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
[14:10:05] 14:10:05.554603 ARP, Reply 192.168.1.1 is-at 82:31:38:ae:fc:06, length 28
