[12:33:18] Traffic monitoring started
[12:33:18] listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
[12:33:19] 12:33:19.328521 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:19] 12:33:19.329968 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:21] 12:33:21.330729 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:21] 12:33:21.330934 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:23] 12:33:23.331530 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:23] 12:33:23.331748 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:25] 12:33:25.335416 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:25] 12:33:25.335648 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:27] 12:33:27.337197 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:27] 12:33:27.337345 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:29] 12:33:29.342728 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:29] 12:33:29.343020 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:31] 12:33:31.348149 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:31] 12:33:31.348205 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:33] 12:33:33.352020 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:33] 12:33:33.352076 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:35] 12:33:35.353401 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:35] 12:33:35.353454 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:37] 12:33:37.298628 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:37] 12:33:37.298682 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:39] 12:33:39.299439 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:39] 12:33:39.299505 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:41] 12:33:41.300440 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:41] 12:33:41.300493 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:43] 12:33:43.300963 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:43] 12:33:43.301007 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:45] 12:33:45.301503 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:45] 12:33:45.301545 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:47] 12:33:47.302429 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:47] 12:33:47.302483 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:49] 12:33:49.303518 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:49] 12:33:49.303572 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:51] 12:33:51.307152 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:51] 12:33:51.307210 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:53] 12:33:53.310273 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:53] 12:33:53.310328 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:55] 12:33:55.313635 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
[12:33:55] 12:33:55.313690 ARP, Reply 192.168.1.1 is-at ae:2a:2d:1f:df:a0, length 28
